Name,Phone,Email,Address,Category
Sunshine Restaurant,"
0803 690 0022",,"
23 Awolowo St, Azuiyi Udene, Abakaliki 480213, Ebonyi",Restaurant
Quick Bite Restaurant,"
0906 740 6690",,"
Obike St, Abakaliki 482109, Ebonyi",Restaurant
"Abacha Nkwogu Lounge, Bar and Restaurant.","
0703 936 1019",,"
2 Ukwansi St, off Water Works Road, Abakaliki, 480001, Ebonyi",Restaurant
Chillis Foods Abakaliki,"
0813 888 3035",,"
Enugu - Ogoja Road, Kpiri Kpiri, Abakaliki 480106, Ebonyi",Restaurant
Madam J Restaurant,"
0907 278 9888",,"
Afikpo Rd, Abakaliki 480108, Ebonyi",Restaurant
Kilimanjaro Restaurant Ogoja Road,"
0700 5454 3663",,"
2B Ogoja Rd, Abakaliki 480106, Ebonyi",Restaurant
Ryan Hotel and Suites Limited,"
0916 777 5555",reservation@ryanhotel-suites.com,"
8462+XX4, 32 Onwe Rd, Abakaliki 480108, Ebonyi",Hotel
Blossom Height Unique Hotel,"
0810 025 0761",blossomheightunique@gmail.com,"
16b Goddy Ogbaga Avenue, Ntezi Abba, Abakaliki 480211, Ebonyi",Hotel
Abuson Hotel,"
0902 786 3760",reservations@abusonhotels.com,"
14-16 Onitsha, Azuiyi Udene, Abakaliki 480105, Ebonyi",Hotel
Pinnacle Hotels and Suites,"
0813 892 5052",,"
Enugu - Abakaliki Rd, Ntezi Abba, Abakaliki 482114, Ebonyi",Hotel
Fountain Hilton Hotels,,,"
No. 9 Amaeze Nwafor Street, Eckankar Rd, Mile 50, Abakaliki 482112, Ebonyi",Hotel
Osbourn La Palm Royal Resort,"
0704 303 3091",,"
1, Osbourne Avenue, Mile 50, Ntezi Abba, Abakaliki",Hotel
CLEVERO HOTEL,"
0814 554 9248",,"
2 Polycarp Nwite Close, Off Onwe Rd, beside 043 club excelsior hotels and suits, Abakaliki, Ebonyi",Hotel
Monabliss Hotels and suite limited,"
0803 657 5145",,"
Nnorom St, Ntezi Abba, Abakaliki 482112, Ebonyi",Hotel
Hotel Geneza,,,"
Onwe Rd, Abakaliki 480108, Ebonyi",Hotel
New Haven Hotel,"
0705 887 1002",,"
2 Vista Oge Crescent, Abakaliki 480108, Ebonyi",Hotel
Wagmi Apartments,"
0806 304 5803",,"
932F+84H, Abakaliki 480212, Ebonyi",Service Apartment
Ladina Apartments,,,"
83RJ+53V, Abakaliki 482112, Ebonyi",Service Apartment
K Suites Abakaliki: The Calm and Caring,"
0813 929 8598",,"
Ebony L.G.A, 2 Mbam Agbo Street, Umunze St, off G-Hostel, Abakaliki 480001, Ebonyi",Service Apartment
Golden Synergy Apartment & Suites,"
0707 738 2668",,"
4 Anikpe St, Kpiri Kpiri, Abakaliki 480106, Ebonyi",Service Apartment
Garden View Holiday Cottage,"
0703 721 1189",,"
UGWUACHARA, 7 IGWE AMADI AVENUE, Abakaliki, 234042",Service Apartment
Grande Vitesse Apartments and Hotels,"
0802 396 4078",,"
5 Igwe Ogbuofia Street, Kpiri Kpiri (off Ogbaga Road), Kpirikpiri, Abakaliki",Service Apartment
Bald Eagle Apartments,"
0803 076 2974",,"
Zone 17, Centenary City, Plot 76A, Abakaliki 480103, Ebonyi",Service Apartment
MUNA’S PLACE ABAKALIKI,"
0816 540 1725",info@munasplace.com,"
MUNA'S PLACE at Sabbath church, MUNA'S PLACE, Nteje Street, Awo Idemili St, off Nteje Street, Abakaliki 480101, Ebonyi",Service Apartment
Klasston Suites,"
0810 235 7660",,"
Enugu - Abakaliki Rd, Ntezi Abba, Abakaliki 482103, Ebonyi",Service Apartment
Salt Spring Resort,"
0906 927 2911",,"
Mile 50, No 1, Salt Spring Close, Abakaliki",Service Apartment
Abakaliki Township Stadium,"
0701 464 4219",,"
Enugu - Ogoja Road, Ntezi Abba, Abakaliki 480106, Ebonyi",Sport facility
Don Predict,"
0914 870 9940",contact@donpredict.com,"
73VX+8G5, Ramat Mohammed Layout, Abakaliki 482103, Ebonyi",Sport facility
Abakaliki Stadium,"
0816 561 4834",,"
84F6+6RC, Azuiyi Udene, Abakaliki 480106, Ebonyi",Sport facility
Esthington Basketball Academy,"
0916 256 3077",,"
83GJ+5GJ, Ezza Rd, Abakaliki, 482101, Ebonyi",Sport facility
Sports bar,,,"
83MR+WX2, Ntezi Abba, Abakaliki 480106, Ebonyi",Sport facility
Mega Gym,"
0708 625 4037",,"
8474+66V, Afikpo Rd, Abakaliki 480108, Ebonyi",Sport facility
Ballers Club,"
0810 913 3076",,"
84J2+3JX, Ntezi Abba, Abakaliki 480106, Ebonyi",Sport facility
Club Solace,"
0703 939 5370",,"
Off 43 Nkaliki Rd, Ntezi Abba, Abakaliki 482103, Ebonyi",Sport facility
Sports Affairs,"
0803 394 8085",,"
1a Ogoja Rd, Abakaliki 480106, Ebonyi",Sport facility
CYNOSURE FOOTBALL CLUB,"
0706 860 5610",,"
Ogbaga Rd, Abakaliki, 480106, Ebonyi",Sport facility
Larissa Luxury Spa,"
0903 700 0003",,"
6 Uga St, Abakaliki 480101, Ebonyi",Spa
Lucent Spa,"
0916 497 7309",,"
2nd Floor DreamLink Plaza Mile 50, Nepa Junction Abakaliki, Local, Government Area, Abakaliki 480212, Ebonyi",Spa
Colam Beauty Lounge,"
0813 465 0229",,"
1 Hilltop St, Azuiyi Udene, Abakaliki 480242, Ebonyi",Spa
Lux unisex salon and spa,"
0701 147 0414",,"
38 0dunukkwe Street, Ntezi Abba, Abakaliki 480273, Ebonyi",Spa
Larissa Galleria,"
0903 700 0003",,"
No 6 Uga St, Abakaliki 480231, Ebonyi",Spa
Salonova Salon and Spa,"
0706 936 2208",,"
17 Enugu - Abakaliki Rd, Ntezi Abba, Abakaliki 480108, Ebonyi",Spa
SKYFALL SPA,"
0806 489 3354",,"
SHOPPING MALL, Abakaliki, 482103, Ebonyi",Spa
Salt Spring Resort,"
0906 927 2911",,"
Mile 50, No 1, Salt Spring Close, Abakaliki",Spa
FOXYSTYLE UNISEX SALON & spa,"
0813 245 3447",,"
Jason plaza, 18 Brackenbury St, Azuiyi Udene, Abakaliki 480101, Ebonyi",Spa
G-winz unisex salon & spa,"
0806 121 2752",,"
7b Awolowo St, Water Works Rd, Abakaliki, 481001, Ebonyi",Spa
Larissa Galleria,"
0903 700 0003",,"
No 6 Uga St, Abakaliki 480231, Ebonyi",Salon
Larissa Luxury Spa,"
0903 700 0003",,"
6 Uga St, Abakaliki 480101, Ebonyi",Salon
Lux unisex salon and spa,"
0701 147 0414",,"
38 0dunukkwe Street, Ntezi Abba, Abakaliki 480273, Ebonyi",Salon
Salonova Salon and Spa,"
0706 936 2208",,"
17 Enugu - Abakaliki Rd, Ntezi Abba, Abakaliki 480108, Ebonyi",Salon
E_ class _Barbing Salon,"
0814 643 9169",,"
24 Nkaliki Rd, Abakaliki 480101, Ebonyi",Salon
Colam Beauty Lounge,"
0813 465 0229",,"
1 Hilltop St, Azuiyi Udene, Abakaliki 480242, Ebonyi",Salon
sort unisex beauty home,"
0813 421 0225",,"
Vanco juncion, 1 Nwankwo St, Abakaliki 840001, Ebonyi",Salon
Larissa Luxury Hair Saloon,"
0903 700 0003",,"
48 Hilltop St, Azuiyi Udene, Abakaliki 480105, Ebonyi",Salon
Royal Blend Salons,"
0813 048 4861",,"
84F7+JGM, Zik Ave, Azuiyi Udene, Abakaliki 480101, Ebonyi",Salon
iBeauTy salon (Home Of Beauty),"
0906 310 1709",,"
152 Hilltop St, Azuiyi Udene, Abakaliki 480105, Ebonyi",Salon
Chidinma Health Clinic Abakaliki,,,"
Mile 50, Old Enugu road, Abakaliki",Health
Zicon Natural Clinic,"
0813 652 0201",,"
17 Enugu - Abakaliki Rd, Ntezi Abba, Abakaliki 480108, Ebonyi",Health
Alex Ekwueme Federal University Teaching Hospital Abakiliki 2 (AEFUTHA 2),"
0806 835 8468",,"
83CV+V8J, A343, Ntezi Abba, Abakaliki 480108, Ebonyi",Health
Cityhealth Specialist Hospital LTD,"
0813 620 9023",,"
Extension After, St Luke's Catholic church Chaplaincy Presco Junction, 75B Ezza Rd, Abakaliki 480214, Ebonyi",Health
Health Center,,,"
82CW+5GV, Abakaliki 482106, Ebonyi",Health
"National Obstetric Fistula Centre, Abakaliki","
0803 261 5067",nationalobstetricfistulacentre@yahoo.com,"
Enugu - Abakaliki Rd, Ntezi Abba, Abakaliki 480108, Ebonyi",Health
"Enugu state health care MCH, mother and child maternity health care",,,"
8476+PMG, Sen Nshi Rd, Abakaliki 480101, Ebonyi",Health
Offiaoji Health Centre,,,"
84F6+6RF, Azuiyi Udene, Abakaliki 480106, Ebonyi",Health
Omega Health System Limited (Hospital),"
0703 617 4165",,"
mile 50, No 1 grace ovu street, mgbukobe, Abakaliki 480101, Ebonyi",Health
Abofia Health Centre,,,"
84VC+7VM, Abakaliki, 482109, Ebonyi",Health
"National Obstetric Fistula Centre, Abakaliki","
0803 261 5067",nationalobstetricfistulacentre@yahoo.com,"
Enugu - Abakaliki Rd, Ntezi Abba, Abakaliki 480108, Ebonyi",Hospital
Christ the King Hospital,"
0803 595 9117",,"
85 Afikpo Rd, Abakaliki 480108, Ebonyi",Hospital
Alex Ekwueme Federal University Teaching Hospital Abakiliki 2 (AEFUTHA 2),"
0806 835 8468",,"
83CV+V8J, A343, Ntezi Abba, Abakaliki 480108, Ebonyi",Hospital
VIN BRITISH SPECIALIST HOSPITAL,"
0906 988 5626",info@vinbritishspecialisthospital.com,"
12A Njoku St, off Nkaliki Road, Abakaliki 482103, Ebonyi",Hospital
Federal Teaching Hospital Abakaliki,"
0904 238 1332",,"
Ebo, FEDERAL TEACHING HOSPITAL, Fmc Rd, Abakaliki",Hospital
"Doctors' Specialist Clinic & Maternity, Abakaliki","
0803 549 7498",,"
4 Obiora St, Azuiyi Udene, Abakaliki 480101, Ebonyi",Hospital
St. Ignatius Hospital and Maternity,"
0816 789 8472",,"
845M+8M3, Enugu - Abakaliki Rd, Abakaliki 480105, Ebonyi",Hospital
Smile Specialist Hospital,"
0803 576 3952",,"
4Federal Highway, Ntezi Abba, Abakaliki 482114, Ebonyi",Hospital
Felix Memorial Hospital,,,"
3 Ebo St, Azuiyi Udene, Abakaliki 480105, Ebonyi",Hospital
Temple Hospital and Maternity Abakaliki,,,"
75 Azugwu Rd, Azuiyi Udene, Abakaliki 480103, Ebonyi",Hospital
Colam Beauty Lounge,"
0813 465 0229",,"
1 Hilltop St, Azuiyi Udene, Abakaliki 480242, Ebonyi",Beauty
Larissa Luxury Spa,"
0903 700 0003",,"
6 Uga St, Abakaliki 480101, Ebonyi",Beauty
Larissa Galleria,"
0903 700 0003",,"
No 6 Uga St, Abakaliki 480231, Ebonyi",Beauty
Delight Heaven Beauty.,"
0803 585 4436",,"
84F7+5RV, Ojewere St, Azuiyi Udene, Abakaliki 480101, Ebonyi",Beauty
Lux unisex salon and spa,"
0701 147 0414",,"
38 0dunukkwe Street, Ntezi Abba, Abakaliki 480273, Ebonyi",Beauty
iBeauTy salon (Home Of Beauty),"
0906 310 1709",,"
152 Hilltop St, Azuiyi Udene, Abakaliki 480105, Ebonyi",Beauty
Salonova Salon and Spa,"
0706 936 2208",,"
17 Enugu - Abakaliki Rd, Ntezi Abba, Abakaliki 480108, Ebonyi",Beauty
LIVING BEAUTY SALON,,,"
83HR+J37, Ugwu Udede Street, Ntezi Abba, Abakaliki 480106, Ebonyi",Beauty
Cheriwin Glam World,"
0813 104 8055",,"
Mile 50, 42 Umunze St, off Eckankar junction, Abakaliki 482112, Ebonyi",Beauty
Chapel Cosmetics Global,"
0816 439 7947",,"
39 Ogoja Rd, Azuiyi Udene, Abakaliki 480101, Ebonyi",Beauty
Real Xclusive Palace,"
0814 097 4155",,"
Town Planning Rd, Abakaliki 480106, Ebonyi",NightClub
Miami Underground Club and Lounge,"
0701 669 0085",miamiundergroundclub7@gmail.com,"
No 1 Miami close, opposite stadium, Kpiri Kpiri, Abakaliki 480231, Ebonyi",NightClub
DNG NIGHT GATE CLUB,"
0813 326 6999",,"
70 Ogoja Rd, Azuiyi Udene, Abakaliki 480281, Ebonyi",NightClub
ASSORTED LOUNGE,"
0706 958 5255",,"
73XV+98M, Nwokedi St, Abakaliki 482103, Ebonyi",NightClub
Xclusive Palace,"
0703 357 1747",,"
84G8+6F6, Awolowo St, Azuiyi Udene, Abakaliki 480106, Ebonyi",NightClub
kasablanka Lounge Ai,"
0818 419 4333",,"
Ai local govt, opposite Osborn la palm, margret umahi street, Abakaliki, 480101",NightClub
City Lounge,"
0803 968 7766",,"
1 Hilltop St, Azuiyi Udene, Abakaliki 480105, Ebonyi",NightClub
"Wine Bistro, Rockefellers","
0813 695 2109",,"
2 Udorji Street, Kpiri Kpiri, Abakaliki 480106, Ebonyi",NightClub
PARIS CAFE AND RESTAURANT,"
0703 230 3194",info@parisnightlife.online,"
No 4 ezekwesiri street, Abakaliki 480106, Ebonyi",NightClub
BossaNova Club & Lounge,,,"
32 St Patrck Rd, Kpiri Kpiri, Abakaliki 480106, Ebonyi",NightClub
