Name,Phone,Email,Address,Category
GiftedHands Beauty Empire,"
0706 435 2124",,"
Shop 4 Rafin Sayin, off Hakim Street, Dutse 720001, Jigawa",Salon
Hit Cut Barbing Saloon,"
0703 055 8011",,"
P986+2VM, Unnamed Road, Dutse 720101, Jigawa",Salon
A SQUARE BARBING SALOON,"
0806 334 4534",,"
Layin gidan wanka yalwawa, Dutse 720101",Salon
Successmakeover,"
0803 677 4859",,"
P82M+XJR, Abdullahi maikano, beside Dr, nuhu muahammad sanusi primary school, yadi Dutse Dutse, Yadi 900001",Salon
SARA BEAUTY SALOON,,,"
P976+85F, Abdullahi Maikano Way, Dutse 720101, Jigawa",Salon
BKD HAIR DRESSING SALOON,"
0806 892 9536",,"
P975+38M, Abdullahi Maikano Way, Dutse 720101, Jigawa",Salon
B. Nakowa Barbing Salon (Akubo),"
0816 595 2539",,"
M8MV+CHC, beside B. Nakowa Hotel, Mobile Base, Dutse 720101, Jigawa",Salon
Dutse General Hospital,"
0810 323 2519",,"
Kiyawa Road, Dutse, Jigawa",Health
Kachi Comprehensive PHC,,,"
P8PM+3V, Dutse 720101, Jigawa",Health
"Primary Health Care Centre, Dutse Alhaji",,,"
Zone 5 Bwari Express Rd, Abuja 901101, Federal Capital Territory",Health
Health Reform Foundation OF Nigeria,"
0803 287 0914",,"
687 Mabodi Road, Birnal, Dutse 720101, Jigawa",Health
Shirbaline Healthcare Services Limited,"
0803 662 9381",,"
P976+C7Q, Dutse 720101, Jigawa",Health
JIGAWA STATE CONTRIBUTORY HEALTHCARE MANAGEMENT AGENCY,"
0802 886 2125",,"
Jigawa NG, Kiyawa-Majiri-Kafin Hausa Road, Dutse 720001, Dutse",Health
FREE-CARE MULTICLINICS Dutse jigawa,"
0802 601 9253",,"
P984+97M Adamu Abubakar make Road along state library rafin Sanyi, Dutse 720101, Jigawa",Health
Mubin Healthcare ltd,"
0802 351 8883",,"
Garu Emir Palace Road, Dutse 720101, Jigawa",Health
"Primary Health Care Centre, Duste Makaranta",,,"
Dutse Alhaji, 901101, Federal Capital Territory",Health
College of health science,"
0703 316 5096",,"
P993+C5, Dutse 720101, Jigawa",Health
Dutse General Hospital,"
0810 323 2519",,"
Kiyawa Road, Dutse, Jigawa",Hospital
General Hospital,"
0806 969 3192",,"
Dutse 720101, Jigawa",Hospital
Rasheed Shekoni Specialist Hospital,"
0806 704 2501",,"
40 wakanukuguma Road, Along, Dutse 720101, Jigawa",Hospital
Sambo Hospital,,,"
Gada Din Road, Dutse 720101, Jigawa",Hospital
Police hospital Dutse,,,"
Dutse 720101, Jigawa",Hospital
Albarka Clinic,,,"
196 Olayinka Sule Road, Government House Road, Dutse, Jigawa",Hospital
MU'AL BRITISH BEAUTY PALACE VENTURES,"
0813 546 2224",,"
Takur Site Primary School, Dutse 720101, Jigawa",Beauty
GiftedHands Beauty Empire,"
0706 435 2124",,"
Shop 4 Rafin Sayin, off Hakim Street, Dutse 720001, Jigawa",Beauty
TUS Beauty Gallery,"
0812 199 0163",,"
Inland Guest house, Dutse 720231, Jigawa",Beauty
Elite Beauty and Cosmetics,"
0916 487 0705",,"
Yalwawa, Dutse 720101, Jigawa",Beauty
Zee Nice Salon,,,"
P965+RH3, Abdullahi Maikano Way, Dutse 720101, Jigawa",Beauty
Mabudi Barbing Salon,"
0810 480 5558",,"
Ibrahim Aliyu Way Bypass, Dutse 720101, Jigawa",Beauty
"House of GlamEll, Makeovers & Beauty Studio","
0913 466 1512",,"
49WG+VR3, Beside Assemblies of God Church, Private Transformer, Before Mass Gate Hotel, Dutse Sokale, Kubwa",Beauty
Successmakeover,"
0803 677 4859",,"
P82M+XJR, Abdullahi maikano, beside Dr, nuhu muahammad sanusi primary school, yadi Dutse Dutse, Yadi 900001",Beauty
Snazzy Dredlocs Saloon Dutse Jigawa,"
0803 284 9557",,"
Dutse Ultra modern Market, adjacent police outpost, Dutse 720101, Jigawa",Beauty
Nekky'S Home Of Beauty,"
0803 279 1587",,"
No Ba 09 Olajumoke Plaza Dutse Alhaji Ultra Modern Market, Federal Capital Territory",Beauty
Las vargas,,,"
Makurdi - Jos Rd, Dutse 950101, Nasarawa",NightClub
Truth Lounge and Night Club lafia,"
0803 885 7707",,"
GG4F+C33, Jos road, opposite Yak-Pencil Oil Investment Ltd, Lafia 950101, Nasarawa",NightClub
Dutse Alhaji Exclusive Plaza,,,"
Unnamed Rd, Kubwa 900107, Federal Capital Territory",NightClub
2Nice Lounge,"
0806 082 0110",,"
Dutse Makarata New Jerusalem, Federal Capital Territory",NightClub
MUSICAL,,,"
P82M+XJR TOWER, Dutse 720101, Jigawa",NightClub
